category,product_id,profit
Furniture,FUR-CH-10002024,2246.2
Furniture,FUR-BO-10004834,1614.1
Furniture,FUR-TA-10000198,1229.6999999999998
Furniture,FUR-CH-10001854,1146.2
Furniture,FUR-CH-10004287,1023.7
Office Supplies,OFF-BI-10003527,3435.3
Office Supplies,OFF-BI-10001359,2080.2000000000003
Office Supplies,OFF-BI-10000545,1959.0000000000002
Office Supplies,OFF-BI-10001120,1695.6999999999998
Office Supplies,OFF-BI-10004995,1654.8
Technology,TEC-CO-10004722,5644.0
Technology,TEC-MA-10002412,3624.4000000000015
Technology,TEC-CO-10001449,2631.2
Technology,TEC-MA-10000822,1612.5
Technology,TEC-MA-10001047,1607.0
